DMS_id,n,q99_count,safe,use
SPG1_STRSG_Olson_2014,536962,5370,1,1
HIS7_YEAST_Pokusaeva_2019,496137,4962,1,1
PHOT_CHLRE_Chen_2023,167529,1676,1,1
SPG1_STRSG_Wu_2016,149360,1494,1,1
GRB2_HUMAN_Faure_2021,63366,634,1,1
GFP_AEQVI_Sarkisyan_2016,51714,518,1,1
CAPSD_AAV2S_Sinai_2021,42328,424,1,1
PABP_YEAST_Melamed_2013,37708,378,1,1
Q8WTC7_9CNID_Somermeyer_2022,33510,336,1,1
Q6WV12_9MAXI_Somermeyer_2022,31401,315,1,1
RASK_HUMAN_Weng_2022_abundance,26012,261,1,1
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873,249,1,1
D7PM05_CLYGR_Somermeyer_2022,24515,246,1,1
POLG_DEN26_Suphatrakul_2023,16897,169,1,1
HMDH_HUMAN_Jiang_2019,16853,169,1,1
MSH2_HUMAN_Jia_2020,16749,172,1,1
POLG_CXB3N_Mattenberger_2021,15711,158,1,1
A4_HUMAN_Seuma_2022,14811,149,1,1
A4D664_9INFA_Soh_2019,14421,145,1,1
HSP82_YEAST_Flynn_2019,13294,133,1,1
ENV_HV1BR_Haddox_2016,12863,129,1,1
Q2N0S5_9HIV1_Haddox_2018,12729,128,1,1
A0A192B1T2_9HIV1_Haddox_2018,12577,126,1,1
MTHR_HUMAN_Weile_2021,12464,125,1,1
RDRP_I33A0_Li_2023,12003,121,1,1
SC6A4_HUMAN_Young_2021,11576,116,1,1
SHOC2_HUMAN_Kwon_2022,10972,110,1,1
C6KNH7_9INFA_Lee_2018,10754,108,1,1
A0A2Z5U3Z0_9INFA_Doud_2016,10715,108,1,1
S22A1_HUMAN_Yee_2023_activity,10094,101,1,1
YAP1_HUMAN_Araya_2012,10075,101,1,1
S22A1_HUMAN_Yee_2023_abundance,9803,99,1,1
A0A140D2T1_ZIKV_Sourisseau_2019,9576,96,1,1
PPARG_HUMAN_Majithia_2016,9576,96,1,1
I6TAH8_I68A0_Doud_2015,9462,95,1,1
NCAP_I34A1_Doud_2015,9462,95,1,1
F7YBW8_MESOW_Aakre_2015,9192,92,1,1
PRKN_HUMAN_Clausen_2023,8756,88,1,1
HXK4_HUMAN_Gersing_2022_activity,8570,86,1,1
HXK4_HUMAN_Gersing_2023_abundance,8396,84,1,1
CAS9_STRP1_Spencer_2017_positive,8117,82,1,1
F7YBW8_MESOW_Ding_2023,7922,80,1,1
LGK_LIPST_Klesmith_2015,7890,80,1,1
PPM1D_HUMAN_Miller_2022,7889,79,1,1
ADRB2_HUMAN_Jones_2020,7800,78,1,1
P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,75,1,1
P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,75,1,1
P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,75,1,1
PTEN_HUMAN_Mighell_2018,7260,73,1,1
CBS_HUMAN_Sun_2020,7217,73,1,1
DLG4_HUMAN_Faure_2021,6976,70,1,1
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,70,1,1
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,6917,70,1,1
MK01_HUMAN_Brenan_2016,6809,69,1,1
OXDA_RHOTO_Vanella_2023_expression,6769,68,1,1
OXDA_RHOTO_Vanella_2023_activity,6396,64,1,1
CP2C9_HUMAN_Amorosi_2021_abundance,6370,64,1,1
AMIE_PSEAE_Wrenbeck_2017,6227,63,1,1
CP2C9_HUMAN_Amorosi_2021_activity,6142,62,1,1
CCR5_HUMAN_Gill_2023,6137,63,1,1
R1AB_SARS2_Flynn_2022,5725,58,1,1
HEM3_HUMAN_Loggerenberg_2023,5689,57,1,1
HECD1_HUMAN_Tsuboyama_2023_3DKM,5586,56,1,1
MET_HUMAN_Estevam_2023,5393,54,1,1
PAI1_HUMAN_Huttinger_2021,5345,54,1,1
POLG_PESV_Tsuboyama_2023_2MXD,5130,52,1,1
PTEN_HUMAN_Matreyek_2021,5083,51,1,1
A4GRB6_PSEAI_Chen_2020,5004,51,1,1
BLAT_ECOLX_Stiffler_2015,4996,50,1,1
BLAT_ECOLX_Deng_2012,4996,50,1,1
KKA2_KLEPN_Melnikov_2014,4960,50,1,1
BLAT_ECOLX_Firnberg_2014,4783,48,1,1
ANCSZ_Hobbs_2022,4670,47,1,1
HSP82_YEAST_Mishra_2016,4323,44,1,1
RNC_ECOLI_Weeks_2023,4277,43,1,1
MLAC_ECOLI_MacRae_2023,4007,41,1,1
SPIKE_SARS2_Starr_2020_binding,3802,39,1,1
SPIKE_SARS2_Starr_2020_expression,3798,39,1,1
CD19_HUMAN_Klesmith_2019_FMC_singles,3761,38,1,1
TPMT_HUMAN_Matreyek_2018,3648,37,1,1
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,3637,37,1,1
UBE4B_HUMAN_Tsuboyama_2023_3L1X,3622,37,1,1
SRC_HUMAN_Ahler_2019,3372,34,1,1
SRC_HUMAN_Nguyen_2022,3366,34,1,1
Q53Z42_HUMAN_McShan_2019_expression,3344,34,1,1
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,3344,35,1,1
MYO3_YEAST_Tsuboyama_2023_2BTT,3297,33,1,1
CSN4_MOUSE_Tsuboyama_2023_1UFM,3295,33,1,1
SPTN1_CHICK_Tsuboyama_2023_1TUD,3201,33,1,1
OBSCN_HUMAN_Tsuboyama_2023_1V1C,3197,32,1,1
TPK1_HUMAN_Weile_2017,3181,32,1,1
RASH_HUMAN_Bandaru_2017,3134,32,1,1
Q59976_STRSQ_Romero_2015,2999,30,1,1
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,30,1,1
DYR_ECOLI_Nguyen_2023,2916,41,1,1
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,2915,30,1,1
NUD15_HUMAN_Suiter_2020,2844,29,1,1
SDA_BACSU_Tsuboyama_2023_1PV0,2770,28,1,1
VKOR1_HUMAN_Chiasson_2020_abundance,2695,27,1,1
GCN4_YEAST_Staller_2018,2638,27,1,1
VILI_CHICK_Tsuboyama_2023_1YU5,2568,26,1,1
UBC9_HUMAN_Weile_2017,2563,26,1,1
SYUA_HUMAN_Newberry_2020,2497,25,1,1
NKX31_HUMAN_Tsuboyama_2023_2L9R,2482,25,1,1
CAR11_HUMAN_Meitlis_2020_lof,2395,24,1,1
CAR11_HUMAN_Meitlis_2020_gof,2374,24,1,1
DYR_ECOLI_Thompson_2019,2363,24,1,1
A0A2Z5U3Z0_9INFA_Wu_2014,2350,24,1,1
KCNE1_HUMAN_Muhammad_2023_expression,2339,24,1,1
KCNE1_HUMAN_Muhammad_2023_function,2315,24,1,1
YNZC_BACSU_Tsuboyama_2023_2JVD,2300,23,1,1
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,23,1,1
RCRO_LAMBD_Tsuboyama_2023_1ORC,2278,23,1,1
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2264,23,1,1
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,2252,23,1,1
ACE2_HUMAN_Chan_2020,2223,23,1,1
ESTA_BACSU_Nutschel_2020,2172,22,1,1
REV_HV1H2_Fernandes_2016,2147,22,1,1
MBD11_ARATH_Tsuboyama_2023_6ACV,2116,22,1,1
SPA_STAAU_Tsuboyama_2023_1LP1,2105,22,1,1
BBC1_YEAST_Tsuboyama_2023_1TG0,2069,21,1,1
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2068,21,1,1
PR40A_HUMAN_Tsuboyama_2023_1UZC,2033,21,1,1
NUSA_ECOLI_Tsuboyama_2023_1WCL,2028,21,1,1
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1960,20,1,1
ISDH_STAAW_Tsuboyama_2023_2LHR,1944,20,1,1
SERC_HUMAN_Xie_2023,1914,20,1,1
CATR_CHLRE_Tsuboyama_2023_2AMI,1903,20,1,1
YAIA_ECOLI_Tsuboyama_2023_2KVT,1890,19,1,1
FECA_ECOLI_Tsuboyama_2023_2D1U,1886,19,1,1
BRCA1_HUMAN_Findlay_2018,1837,19,1,1
PITX2_HUMAN_Tsuboyama_2023_2L7M,1824,19,1,1
PA_I34A1_Wu_2015,1820,19,1,1
CALM1_HUMAN_Weile_2017,1813,19,1,1
AACC1_PSEAI_Dandage_2018,1801,19,1,1
MTH3_HAEAE_RockahShmuel_2015,1777,22,1,1
SUMO1_HUMAN_Weile_2017,1700,17,1,1
CASP7_HUMAN_Roychowdhury_2020,1680,17,1,1
CCDB_ECOLI_Tripathi_2016,1663,1318,1,1
A0A247D711_LISMN_Stadelmann_2021,1653,17,1,1
POLG_HCVJF_Qi_2014,1630,17,1,1
SR43C_ARATH_Tsuboyama_2023_2N88,1583,16,1,1
CUE1_YEAST_Tsuboyama_2023_2MYX,1580,16,1,1
PSAE_PICP2_Tsuboyama_2023_1PSE,1579,16,1,1
TAT_HV1BR_Fernandes_2016,1577,16,1,1
DLG4_RAT_McLaughlin_2012,1576,16,1,1
BCHB_CHLTE_Tsuboyama_2023_2KRU,1572,16,1,1
OTC_HUMAN_Lo_2023,1570,16,1,1
CASP3_HUMAN_Roychowdhury_2020,1567,16,1,1
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1556,16,1,1
P84126_THETH_Chan_2017,1519,16,1,1
TRPC_THEMA_Chan_2017,1519,16,1,1
TRPC_SACS2_Chan_2017,1519,16,1,1
TNKS2_HUMAN_Tsuboyama_2023_5JRT,1479,15,1,1
RL20_AQUAE_Tsuboyama_2023_1GYZ,1461,15,1,1
RPC1_BP434_Tsuboyama_2023_1R69,1459,15,1,1
UBR5_HUMAN_Tsuboyama_2023_1I2T,1453,15,1,1
SPG2_STRSG_Tsuboyama_2023_5UBS,1451,15,1,1
MAFG_MOUSE_Tsuboyama_2023_1K1V,1429,15,1,1
NUSG_MYCTU_Tsuboyama_2023_2MI6,1380,14,1,1
RL40A_YEAST_Roscoe_2014,1380,14,1,1
IF1_ECOLI_Kelsic_2016,1367,14,1,1
RBP1_HUMAN_Tsuboyama_2023_2KWH,1332,14,1,1
ILF3_HUMAN_Tsuboyama_2023_2L33,1329,14,1,1
RFAH_ECOLI_Tsuboyama_2023_2LCL,1326,14,1,1
PKN1_HUMAN_Tsuboyama_2023_1URF,1301,14,1,1
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,13,1,1
THO1_YEAST_Tsuboyama_2023_2WQG,1279,13,1,1
RCD1_ARATH_Tsuboyama_2023_5OAO,1261,13,1,1
RL40A_YEAST_Mavor_2016,1253,13,1,1
FKBP3_HUMAN_Tsuboyama_2023_2KFV,1237,13,1,1
SCIN_STAAR_Tsuboyama_2023_2QFF,1212,13,1,1
TADBP_HUMAN_Bolognesi_2019,1196,12,1,1
RS15_GEOSE_Tsuboyama_2023_1A32,1195,12,1,1
RL40A_YEAST_Roscoe_2013,1195,12,1,1
GAL4_YEAST_Kitzman_2015,1195,12,1,1
CCDB_ECOLI_Adkar_2012,1176,178,1,1
GDIA_HUMAN_Silverstein_2021,1154,12,1,1
ODP2_GEOSE_Tsuboyama_2023_1W4G,1134,12,1,1
ENVZ_ECOLI_Ghose_2023,1121,12,1,1
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1058,11,1,1
P53_HUMAN_Kotler_2018,1048,11,1,1
VRPI_BPT7_Tsuboyama_2023_2WNM,1047,11,1,1
HCP_LAMBD_Tsuboyama_2023_2L6Q,1040,11,1,1
SBI_STAAM_Tsuboyama_2023_2JVG,1025,11,1,1
RD23A_HUMAN_Tsuboyama_2023_1IFY,1019,11,1,1
SOX30_HUMAN_Tsuboyama_2023_7JJK,1010,11,1,1
DN7A_SACS2_Tsuboyama_2023_1JIC,1008,11,1,1
BLAT_ECOLX_Jacquier_2013,989,18,1,1
SAV1_MOUSE_Tsuboyama_2023_2YSB,965,10,1,1
A0A1I9GEU1_NEIME_Kennouche_2019,922,10,1,1
RAD_ANTMA_Tsuboyama_2023_2CJJ,912,10,1,1
UBE4B_MOUSE_Starita_2013,899,9,1,0
PIN1_HUMAN_Tsuboyama_2023_1I6C,802,9,1,0
Q837P5_ENTFA_Meier_2023,747,8,1,0
VG08_BPP22_Tsuboyama_2023_2GP8,723,8,1,0
SQSTM_MOUSE_Tsuboyama_2023_2RRU,707,8,1,0
Q837P4_ENTFA_Meier_2023,697,7,1,0
VKOR1_HUMAN_Chiasson_2020_activity,697,7,1,0
NPC1_HUMAN_Erwood_2022_HEK293T,637,7,1,0
OTU7A_HUMAN_Tsuboyama_2023_2L2D,635,7,1,0
TPOR_HUMAN_Bridgford_2020,562,6,1,0
ENV_HV1B9_DuenasDecamp_2016,375,4,1,0
LYAM1_HUMAN_Elazar_2016,359,4,1,0
RPC1_LAMBD_Li_2019_high-expression,351,4,1,0
RPC1_LAMBD_Li_2019_low-expression,351,4,1,0
ERBB2_HUMAN_Elazar_2016,326,4,1,0
NRAM_I33A0_Jiang_2016,298,3,1,0
RAF1_HUMAN_Zinkus-Boltz_2019,297,3,1,0
BRCA2_HUMAN_Erwood_2022_HEK293T,265,3,1,0
GLPA_HUMAN_Elazar_2016,245,3,1,0
SCN5A_HUMAN_Glazer_2019,224,3,1,0
AICDA_HUMAN_Gajula_2014_3cycles,209,3,1,0
KCNH2_HUMAN_Kozek_2020,200,2,1,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,2,1,0
OPSD_HUMAN_Wan_2019,165,2,1,0
NPC1_HUMAN_Erwood_2022_RPE1,63,1,1,0
